["cct.kind = 'crew'", "cct.kind = 'complete+verified'", "chn.name = 'Aggressive Rocker'", "ci.note IN ('(uncredited)', '(as AndrÃ© Gower)', '(as Phil Battley)', '(as Merrit Yonka)', '(as Robert Boatman)')", "cn.country_code = '[br]'", "it.info = 'certificates'", "it.info = 'birth name'", "k.keyword = 'male-nudity'", "mi.info LIKE '%M%'", "mi.info LIKE '%M%'", "n.gender = 'm'", "n.name LIKE '%a%'", "rt.role = 'actor'", "t.title = 'Quadrophenia'", "t.production_year > 1957", "t.production_year < 1983"],
["cct.kind = 'cast'", "cct.kind = 'complete+verified'", "chn.name = 'Frisell'", "ci.note IN ('(Glowing Raver)', '(as Ayako)', '(as Everson Style)', '(as Ellen KÃ¼rty)', '(voice) (as Cirie)')", "cn.country_code = '[ch]'", "it.info = 'release dates'", "it.info = 'birth notes'", "k.keyword = 'electrocution'", "mi.info LIKE '%r%'", "mi.info LIKE '%F%'", "n.gender = 'm'", "n.name LIKE '%G%'", "rt.role = 'actor'", "t.title = 'Freddy vs. Jason'", "t.production_year > 1929", "t.production_year < 2017"],
["cct.kind = 'crew'", "cct.kind = 'complete+verified'", "chn.name = 'Soviet Security Council Member'", "ci.note IN ('(uncredited)', '(as Roger Howell)', '(as Suso de Toro)', '(as LeeAnna)', '(as Judit DiÃ³s)')", "cn.country_code = '[au]'", "it.info = 'gross'", "it.info = 'birth name'", "k.keyword = 'hot-air-balloon'", "mi.info LIKE '%3%'", "mi.info LIKE '%6%'", "n.gender = 'm'", "n.name LIKE '%i%'", "rt.role = 'actor'", "t.title = 'Octopussy'", "t.production_year > 1915", "t.production_year < 1985"],
["cct.kind = 'cast'", "cct.kind = 'complete+verified'", "chn.name = 'Frisell'", "ci.note IN ('(Glowing Raver)', '(as MarÃ­a Merino)', '(music by) (2009)', '(as Mike Gualdi)', '(as Judie Douglas)')", "cn.country_code = '[us]'", "it.info = 'certificates'", "it.info = 'birth date'", "k.keyword = 'caterpillar'", "mi.info LIKE '%i%'", "mi.info LIKE '%l%'", "n.gender = 'm'", "n.name LIKE '%e%'", "rt.role = 'actor'", "t.title = 'Freddy vs. Jason'", "t.production_year > 1880", "t.production_year < 2005"],
["cct.kind = 'cast'", "cct.kind = 'complete+verified'", "chn.name = 'Frisell'", "ci.note IN ('(Glowing Raver)', '(as Mikiho-chan)', '(as Mike Eliot)', '(as Wacey LaBelle)', '(as Hilary Shapiro)')", "cn.country_code = '[de]'", "it.info = 'release dates'", "it.info = 'birth date'", "k.keyword = 'sadism'", "mi.info LIKE '%3%'", "mi.info LIKE '%a%'", "n.gender = 'm'", "n.name LIKE '%A%'", "rt.role = 'actor'", "t.title = 'Freddy vs. Jason'", "t.production_year > 1933", "t.production_year < 2009"],
["cct.kind = 'crew'", "cct.kind = 'complete+verified'", "chn.name = 'Man on Tour Boat'", "ci.note IN ('(uncredited)', '(book) (as Tiitus)', '(as Korina H.)', '(it department)', '(as Frankie Ryan)')", "cn.country_code = '[au]'", "it.info = 'weekend gross'", "it.info = 'interviews'", "k.keyword = 'iron-curtain'", "mi.info LIKE '%(%'", "mi.info LIKE '%(%'", "n.gender = 'm'", "n.name LIKE '%,%'", "rt.role = 'actor'", "t.title = 'Octopussy'", "t.production_year > 1955", "t.production_year < 1998"],
["cct.kind = 'cast'", "cct.kind = 'complete+verified'", "chn.name = 'Frisell'", "ci.note IN ('(Glowing Raver)', '(as Lam Man Wai)', '(as Flavio Labo)', '(as SoÃ±a VeselÃ¡)', '(as Johnny Whiskey)')", "cn.country_code = '[nl]'", "it.info = 'release dates'", "it.info = 'birth notes'", "k.keyword = 'villain'", "mi.info LIKE '%0%'", "mi.info LIKE '%3%'", "n.gender = 'm'", "n.name LIKE '%l%'", "rt.role = 'actor'", "t.title = 'Freddy vs. Jason'", "t.production_year > 1990", "t.production_year < 2009"],
["cct.kind = 'cast'", "cct.kind = 'complete+verified'", "chn.name = 'Mr. Kirk'", "ci.note IN ('(segment "Non-Fiction")', '(as Lionel Haft)', '(as Pavel Patriki)', '(as T. Meena)', '(trombone)')", "cn.country_code = '[us]'", "it.info = 'quotes'", "it.info = 'trade mark'", "k.keyword = 'kindness'", "mi.info LIKE '%f%'", "mi.info LIKE '%f%'", "n.gender = 'm'", "n.name LIKE '%k%'", "rt.role = 'actor'", "t.title = 'Storytelling'", "t.production_year > 1910", "t.production_year < 2010"],
["cct.kind = 'cast'", "cct.kind = 'complete+verified'", "chn.name = 'Frisell'", "ci.note IN ('(Glowing Raver)', '(Poor Soul Sketch)', '(as Matthew Gerbig)', '(as Kelvin Larsen)', '(as Nagesh Bhosie)')", "cn.country_code = '[de]'", "it.info = 'release dates'", "it.info = 'birth notes'", "k.keyword = 'villain'", "mi.info LIKE '%a%'", "mi.info LIKE '%a%'", "n.gender = 'm'", "n.name LIKE '%n%'", "rt.role = 'actor'", "t.title = 'Freddy vs. Jason'", "t.production_year > 1931", "t.production_year < 2019"],
["cct.kind = 'cast'", "cct.kind = 'complete+verified'", "chn.name = 'Frisell'", "ci.note IN ('(Glowing Raver)', '(as Jack James)', '(as Semillita)', '(2 episodes 1998)', '(as Chrome Cosio)')", "cn.country_code = '[de]'", "it.info = 'goofs'", "it.info = 'death notes'", "k.keyword = 'demon'", "mi.info LIKE '%m%'", "mi.info LIKE '%a%'", "n.gender = 'm'", "n.name LIKE '%G%'", "rt.role = 'actor'", "t.title = 'Freddy vs. Jason'", "t.production_year > 1991", "t.production_year < 2014"],
["cct.kind = 'crew'", "cct.kind = 'complete+verified'", "chn.name = 'Soviet Security Council Member'", "ci.note IN ('(uncredited)', '(as Malorie)', '(Farraj)', '(as Meridiane)', '(as Ortis Dealey)')", "cn.country_code = '[au]'", "it.info = 'trivia'", "it.info = 'trivia'", "k.keyword = 'bomb'", "mi.info LIKE '%o%'", "mi.info LIKE '%a%'", "n.gender = 'm'", "n.name LIKE '%l%'", "rt.role = 'actor'", "t.title = 'Octopussy'", "t.production_year > 1910", "t.production_year < 2013"],
