["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%D%'", "chn.name LIKE '%a%'", "chn.name LIKE '%v%'", "k.keyword IN ('post-world-war-one', 'poisoned-food', 'fake-funeral', 'full-moon', 'marathon')", "kt.kind = 'movie'", "t.production_year > 1924"],
["cct.kind = 'cast'", "cct.kind LIKE '%l%'", "chn.name NOT LIKE '%#%'", "chn.name LIKE '%s%'", "chn.name LIKE '%y%'", "k.keyword IN ('horse', 'arusi', 'monsanto', 'towing-a-car', 'male-taxi-driver')", "kt.kind = 'movie'", "t.production_year > 1976"],
["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%m%'", "chn.name LIKE '%e%'", "chn.name LIKE '%f%'", "k.keyword IN ('bare-breasts', 'army-messenger', 'royal-navy', 'punch-in-the-belly', 'pethidine')", "kt.kind = 'movie'", "t.production_year > 1980"],
["cct.kind = 'crew'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%n%'", "chn.name LIKE '%e%'", "chn.name LIKE '%m%'", "k.keyword IN ('surrealism', 'snuff', 'hot-plate', 'athletic-woman', 'sea-water')", "kt.kind = 'movie'", "t.production_year > 1959"],
["cct.kind = 'cast'", "cct.kind LIKE '%c%'", "chn.name NOT LIKE '%d%'", "chn.name LIKE '%h%'", "chn.name LIKE '%u%'", "k.keyword IN ('tap-dance', 'roll-of-coins', 'oscar-statuette', 'villain', 'ford-automobile')", "kt.kind = 'movie'", "t.production_year > 1939"],
["cct.kind = 'cast'", "cct.kind LIKE '%t%'", "chn.name NOT LIKE '%e%'", "chn.name LIKE '%i%'", "chn.name LIKE '%y%'", "k.keyword IN ('husband-wife-relationship', 'microphone', 'telephone-off-hook', 'gun-toting', 'war-in-croatia')", "kt.kind = 'movie'", "t.production_year > 1988"],
["cct.kind = 'cast'", "cct.kind LIKE '%t%'", "chn.name NOT LIKE '%e%'", "chn.name LIKE '%r%'", "chn.name LIKE '%o%'", "k.keyword IN ('revenge', 'killing-husband', 'sleeping-woman', 'exhumed-body', 'gallery')", "kt.kind = 'movie'", "t.production_year > 1932"],
["cct.kind = 'cast'", "cct.kind LIKE '%i%'", "chn.name NOT LIKE '%T%'", "chn.name LIKE '%g%'", "chn.name LIKE '%T%'", "k.keyword IN ('goodwill', 'british-spy', '23-year-old', 'duress', 'paper-crown')", "kt.kind = 'movie'", "t.production_year > 1967"],
["cct.kind = 'cast'", "cct.kind LIKE '%i%'", "chn.name NOT LIKE '%l%'", "chn.name LIKE '%o%'", "chn.name LIKE '%o%'", "k.keyword IN ('poverty-row-film', 'death-of-a-cat', 'brooch', 'seven-deadly-sins', 'body-in-a-bag')", "kt.kind = 'movie'", "t.production_year > 1954"],
["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%P%'", "chn.name LIKE '%#%'", "chn.name LIKE '%H%'", "k.keyword IN ('marijuana', 'brahmin', 'grabbed-by-ankle', 'greenhouse-tomato', 'local-bar')", "kt.kind = 'movie'", "t.production_year > 1980"],
["cct.kind = 'crew'", "cct.kind LIKE '%m%'", "chn.name NOT LIKE '%h%'", "chn.name LIKE '%e%'", "chn.name LIKE '%r%'", "k.keyword IN ('guilt', 'falling-into-pool', 'glass-of-milk', 'cassette', 'burlap-bag')", "kt.kind = 'movie'", "t.production_year > 1967"],
["cct.kind = 'cast'", "cct.kind LIKE '%t%'", "chn.name NOT LIKE '%c%'", "chn.name LIKE '%P%'", "chn.name LIKE '%n%'", "k.keyword IN ('newborn-baby', 'blowing-out-candle', 'sons', 'fist-bump', 'vurdalak')", "kt.kind = 'tv series'", "t.production_year > 1992"],
["cct.kind = 'cast'", "cct.kind LIKE '%f%'", "chn.name NOT LIKE '%n%'", "chn.name LIKE '%P%'", "chn.name LIKE '%s%'", "k.keyword IN ('biker', 'affidavit', 'sacred-stone', 'woman-heroine', 'political-framing')", "kt.kind = 'movie'", "t.production_year > 1980"],
["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%L%'", "chn.name LIKE '%-%'", "chn.name LIKE '%n%'", "k.keyword IN ('character-says-i''m-sorry', 'poor-man-rich-woman', 'art-team', 'descanso', 'elevated-railway')", "kt.kind = 'movie'", "t.production_year > 1981"],
["cct.kind = 'crew'", "cct.kind LIKE '%d%'", "chn.name NOT LIKE '%G%'", "chn.name LIKE '%C%'", "chn.name LIKE '%C%'", "k.keyword IN ('hat-check-girl', 'abrupt-ending', 'wasteland', 'tiger-hunt', 'ice-sculpture')", "kt.kind = 'movie'", "t.production_year > 1938"],
["cct.kind = 'cast'", "cct.kind LIKE '%c%'", "chn.name NOT LIKE '%C%'", "chn.name LIKE '%r%'", "chn.name LIKE '%l%'", "k.keyword IN ('dream', 'illegal-game', 'police-training', 'dance-recital', 'power-politics')", "kt.kind = 'movie'", "t.production_year > 1939"],
["cct.kind = 'cast'", "cct.kind LIKE '%t%'", "chn.name NOT LIKE '%b%'", "chn.name LIKE '%e%'", "chn.name LIKE '%a%'", "k.keyword IN ('locker-room', 'opium-smoking', 'wembley-stadium', 'male-feet-in-socks', 'cartoon-cricket')", "kt.kind = 'movie'", "t.production_year > 1980"],
["cct.kind = 'cast'", "cct.kind LIKE '%f%'", "chn.name NOT LIKE '%Ã%'", "chn.name LIKE '%p%'", "chn.name LIKE '%i%'", "k.keyword IN ('male-nudity', 'youngest-daughter', 'citrine-ring', 'designer-handbag', 'hummingbird')", "kt.kind = 'movie'", "t.production_year > 1974"],
["cct.kind = 'cast'", "cct.kind LIKE '%p%'", "chn.name NOT LIKE '%e%'", "chn.name LIKE '%e%'", "chn.name LIKE '%l%'", "k.keyword IN ('hospital', 'tv-movie', 'dead-babysitter', 'musical-production', 'unfaithful-husband')", "kt.kind = 'movie'", "t.production_year > 1932"],
["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%n%'", "chn.name LIKE '%p%'", "chn.name LIKE '%p%'", "k.keyword IN ('truck-driver', 'sorority-sister', 'beowulf', 'street-thug', 'tripoli-libya')", "kt.kind = 'movie'", "t.production_year > 1943"],
["cct.kind = 'cast'", "cct.kind LIKE '%o%'", "chn.name NOT LIKE '%C%'", "chn.name LIKE '%C%'", "chn.name LIKE '%e%'", "k.keyword IN ('parenthood', 'interplanetary-war', 'fight-the-system', 'angel-and-devil', 'artery-slitting')", "kt.kind = 'tv movie'", "t.production_year > 1993"],
["cct.kind = 'cast'", "cct.kind LIKE '%m%'", "chn.name NOT LIKE '%o%'", "chn.name LIKE '%n%'", "chn.name LIKE '%e%'", "k.keyword IN ('drugs', 'clothes-blown-off', 'lesbian-threesome', 'archive-films', 'bolt-action-rifle')", "kt.kind = 'movie'", "t.production_year > 1980"],
["cct.kind = 'cast'", "cct.kind LIKE '%t%'", "chn.name NOT LIKE '%u%'", "chn.name LIKE '%u%'", "chn.name LIKE '%h%'", "k.keyword IN ('contest', 'fake-kidnapping', 'tardiness', 'year-1938', 'former-child-star')", "kt.kind = 'movie'", "t.production_year > 1939"],
["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%i%'", "chn.name LIKE '%i%'", "chn.name LIKE '%e%'", "k.keyword IN ('struggle', 'conch', 'frog-monster', 'pug-dog', 'alcohol-abuse')", "kt.kind = 'tv series'", "t.production_year > 1992"],
["cct.kind = 'cast'", "cct.kind LIKE '%i%'", "chn.name NOT LIKE '%e%'", "chn.name LIKE '%m%'", "chn.name LIKE '%l%'", "k.keyword IN ('limousine', 'quito-ecuador', 'john-glenn', 'shot-in-penis', 'long-lost-daughter')", "kt.kind = 'movie'", "t.production_year > 1980"],
["cct.kind = 'cast'", "cct.kind LIKE '%+%'", "chn.name NOT LIKE '%d%'", "chn.name LIKE '%e%'", "chn.name LIKE '%d%'", "k.keyword IN ('title-spoken-by-character', 'repeated-flashback', 'throwing-rocks', 'powdered-wig', 'judge''s-critique')", "kt.kind = 'movie'", "t.production_year > 1976"],
["cct.kind = 'crew'", "cct.kind LIKE '%f%'", "chn.name NOT LIKE '%R%'", "chn.name LIKE '%e%'", "chn.name LIKE '%e%'", "k.keyword IN ('boxing', 'passionate', 'broken-tv', 'riding-in-a-car', 'gag-reflex')", "kt.kind = 'movie'", "t.production_year > 1942"],
["cct.kind = 'cast'", "cct.kind LIKE '%c%'", "chn.name NOT LIKE '%o%'", "chn.name LIKE '%g%'", "chn.name LIKE '%t%'", "k.keyword IN ('dream', 'reference-to-lassie', 'fig-tree', 'gold-prospector', 'arms')", "kt.kind = 'movie'", "t.production_year > 1939"],
["cct.kind = 'crew'", "cct.kind LIKE '%l%'", "chn.name NOT LIKE '%r%'", "chn.name LIKE '%g%'", "chn.name LIKE '%i%'", "k.keyword IN ('freedom', 'paint-thinner', 'bird-hunting', 'immunization', 'george-m.-cohan')", "kt.kind = 'movie'", "t.production_year > 1967"],
