["cct.kind = 'complete'", "cn.country_code = '[au]'", "it.info = 'release dates'", "kt.kind IN ('video movie', 'video movie', 'video movie', 'video movie', 'video movie')", "mi.note LIKE '%r%'", "mi.info LIKE '%h%'", "mi.info LIKE '%1%'", "t.production_year > 1999"],
["cct.kind = 'complete'", "cn.country_code = '[us]'", "it.info = 'release dates'", "kt.kind IN ('video movie', 'video movie', 'video movie', 'video movie', 'video movie')", "mi.note LIKE '%Festival%'", "mi.info LIKE '%o%'", "mi.info LIKE '%X%'", "t.production_year > 2002"],
["cct.kind = 'complete'", "cn.country_code = '[us]'", "it.info = 'release dates'", "kt.kind IN ('video movie', 'video movie', 'video movie', 'video movie', 'video movie')", "mi.note LIKE '%A%'", "mi.info LIKE '%o%'", "mi.info LIKE '%S%'", "t.production_year > 1994"],
["cct.kind = 'complete'", "cn.country_code = '[us]'", "it.info = 'release dates'", "kt.kind IN ('video movie', 'video movie', 'video movie', 'video movie', 'video movie')", "mi.note LIKE '%t%'", "mi.info LIKE '%l%'", "mi.info LIKE '%u%'", "t.production_year > 2006"],
["cct.kind = 'complete+verified'", "cn.country_code = '[us]'", "it.info = 'release dates'", "kt.kind IN ('video movie', 'video movie', 'video movie', 'video movie', 'video movie')", "mi.note LIKE '%A%'", "mi.info LIKE '%S%'", "mi.info LIKE '%d%'", "t.production_year > 1982"],
["cct.kind = 'complete'", "cn.country_code = '[us]'", "it.info = 'release dates'", "kt.kind IN ('video movie', 'video movie', 'video movie', 'video movie', 'video movie')", "mi.note LIKE '%s%'", "mi.info LIKE '%C%'", "mi.info LIKE '%E%'", "t.production_year > 1993"],
["cct.kind = 'complete'", "cn.country_code = '[us]'", "it.info = 'release dates'", "kt.kind IN ('video movie', 'video movie', 'video movie', 'video movie', 'video movie')", "mi.note LIKE '%premiere%'", "mi.info LIKE '%y%'", "mi.info LIKE '%u%'", "t.production_year > 1998"],
["cct.kind = 'complete+verified'", "cn.country_code = '[us]'", "it.info = 'release dates'", "kt.kind IN ('video movie', 'video movie', 'video movie', 'video movie', 'video movie')", "mi.note LIKE '%m%'", "mi.info LIKE '%X%'", "mi.info LIKE '%U%'", "t.production_year > 2003"],
["cct.kind = 'complete'", "cn.country_code = '[us]'", "it.info = 'release dates'", "kt.kind IN ('video movie', 'video movie', 'video movie', 'video movie', 'video movie')", "mi.note LIKE '%DVD%'", "mi.info LIKE '%o%'", "mi.info LIKE '%USA%'", "t.production_year > 1996"],
["cct.kind = 'complete'", "cn.country_code = '[us]'", "it.info = 'release dates'", "kt.kind IN ('video movie', 'video movie', 'video movie', 'video movie', 'video movie')", "mi.note LIKE '%s%'", "mi.info LIKE '%USA%'", "mi.info LIKE '%U%'", "t.production_year > 2009"],
["cct.kind = 'complete'", "cn.country_code = '[us]'", "it.info = 'release dates'", "kt.kind IN ('video movie', 'video movie', 'video movie', 'video movie', 'video movie')", "mi.note LIKE '%o%'", "mi.info LIKE '%Ed%'", "mi.info LIKE '%D%'", "t.production_year > 1930"],
