["cct.kind = 'crew'", "cct.kind LIKE '%+%'", "chn.name NOT LIKE '%c%'", "chn.name LIKE '%e%'", "chn.name LIKE '%a%'", "k.keyword IN ('cornfield', 'brimstone', 'cha-cha', 'stick-up', 'arrested-at-airport')", "kt.kind = 'movie'", "t.production_year > 1988"],
["cct.kind = 'crew'", "cct.kind LIKE '%c%'", "chn.name NOT LIKE '%l%'", "chn.name LIKE '%h%'", "chn.name LIKE '%S%'", "k.keyword IN ('alien-invasion', 'zoot-suit', 'swedish-army', 'punk-band', 'repairing-a-chair')", "kt.kind = 'movie'", "t.production_year > 1987"],
["cct.kind = 'cast'", "cct.kind LIKE '%c%'", "chn.name NOT LIKE '%t%'", "chn.name LIKE '%t%'", "chn.name LIKE '%y%'", "k.keyword IN ('gunfight', 'rabbit-hole', 'underground-temple', 'loss-of-nose', 'public-library')", "kt.kind = 'movie'", "t.production_year > 1971"],
["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%k%'", "chn.name LIKE '%c%'", "chn.name LIKE '%i%'", "k.keyword IN ('independent-film', 'janis-joplin', 'synergy', 'cantina-dancer', 'missing-pet')", "kt.kind = 'movie'", "t.production_year > 1988"],
["cct.kind = 'crew'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%S%'", "chn.name LIKE '%t%'", "chn.name LIKE '%a%'", "k.keyword IN ('station-master', 'emotional-shock', 'camera-in-watch', 'lunch-wagon', 'credits')", "kt.kind = 'movie'", "t.production_year > 1990"],
["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%y%'", "chn.name LIKE '%y%'", "chn.name LIKE '%p%'", "k.keyword IN ('prostitute', 'severed-arm', 'loss-of-vision', 'invisible-being', 'tostes-france')", "kt.kind = 'movie'", "t.production_year > 1971"],
["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%g%'", "chn.name LIKE '%l%'", "chn.name LIKE '%l%'", "k.keyword IN ('spit-in-the-face', 'drug-rehabilitation', 'enemy-turned-friend', 'horse-as-narrator', 'yapping-dog')", "kt.kind = 'tv movie'", "t.production_year > 1986"],
["cct.kind = 'cast'", "cct.kind LIKE '%c%'", "chn.name NOT LIKE '%a%'", "chn.name LIKE '%o%'", "chn.name LIKE '%m%'", "k.keyword IN ('shooting', 'rapier', 'wise-guy', 'lodge', 'forehead-wound')", "kt.kind = 'movie'", "t.production_year > 1969"],
["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%t%'", "chn.name LIKE '%i%'", "chn.name LIKE '%u%'", "k.keyword IN ('1990s', 'race-war', 'locked-in-a-cellar', 'endorsement', 'tablet')", "kt.kind = 'movie'", "t.production_year > 1990"],
["cct.kind = 'crew'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%G%'", "chn.name LIKE '%e%'", "chn.name LIKE '%e%'", "k.keyword IN ('smuggler', 'power', 'wiggling-ears', 'jazz-singer', 'jacket')", "kt.kind = 'movie'", "t.production_year > 1980"],
["cct.kind = 'cast'", "cct.kind LIKE '%t%'", "chn.name NOT LIKE '%D%'", "chn.name LIKE '%t%'", "chn.name LIKE '%t%'", "k.keyword IN ('cowboy-shirt', 'fjord', 'snowbound', 'debut', 'disco-cage-dancer')", "kt.kind = 'movie'", "t.production_year > 1971"],
