["cct.kind = 'complete'", "cn.country_code = '[sg]'", "it.info = 'plot'", "kt.kind IN ('movie', 'movie', 'tv series', 'video movie', 'movie')", "mi.note LIKE '%,%'", "mi.info LIKE '%r%'", "mi.info LIKE '%a%'", "t.production_year > 2004"],
["cct.kind = 'complete'", "cn.country_code = '[us]'", "it.info = 'locations'", "kt.kind IN ('movie', 'tv series', 'tv movie', 'video game', 'tv movie')", "mi.note LIKE '%o%'", "mi.info LIKE '%B%'", "mi.info LIKE '%,%'", "t.production_year > 1968"],
["cct.kind = 'complete+verified'", "cn.country_code = '[be]'", "it.info = 'certificates'", "kt.kind IN ('movie', 'tv movie', 'video game', 'episode', 'episode')", "mi.note LIKE '%a%'", "mi.info LIKE '%P%'", "mi.info LIKE '%p%'", "t.production_year > 2000"],
["cct.kind = 'complete+verified'", "cn.country_code = '[se]'", "it.info = 'release dates'", "kt.kind IN ('movie', 'tv mini series', 'video movie', 'movie', 'movie')", "mi.note LIKE '%F%'", "mi.info LIKE '%S%'", "mi.info LIKE '%e%'", "t.production_year > 1996"],
["cct.kind = 'complete+verified'", "cn.country_code = '[us]'", "it.info = 'release dates'", "kt.kind IN ('movie', 'movie', 'video movie', 'movie', 'tv mini series')", "mi.note LIKE '%)%'", "mi.info LIKE '%0%'", "mi.info LIKE '%e%'", "t.production_year > 2003"],
["cct.kind = 'complete+verified'", "cn.country_code = '[fi]'", "it.info = 'locations'", "kt.kind IN ('movie', 'tv mini series', 'episode', 'tv movie', 'video movie')", "mi.note LIKE '%t%'", "mi.info LIKE '%o%'", "mi.info LIKE '%o%'", "t.production_year > 1939"],
["cct.kind = 'complete+verified'", "cn.country_code = '[us]'", "it.info = 'certificates'", "kt.kind IN ('movie', 'tv mini series', 'episode', 'movie', 'tv series')", "mi.note LIKE '%t%'", "mi.info LIKE '%U%'", "mi.info LIKE '%U%'", "t.production_year > 1954"],
["cct.kind = 'complete+verified'", "cn.country_code = '[us]'", "it.info = 'release dates'", "kt.kind IN ('movie', 'tv movie', 'movie', 'tv movie', 'tv series')", "mi.note LIKE '%r%'", "mi.info LIKE '%5%'", "mi.info LIKE '%a%'", "t.production_year > 1949"],
["cct.kind = 'complete+verified'", "cn.country_code = '[fr]'", "it.info = 'plot'", "kt.kind IN ('movie', 'tv movie', 'tv movie', 'movie', 'tv series')", "mi.note LIKE '%y%'", "mi.info LIKE '%o%'", "mi.info LIKE '%i%'", "t.production_year > 1946"],
["cct.kind = 'complete+verified'", "cn.country_code = '[fi]'", "it.info = 'tech info'", "kt.kind IN ('movie', 'episode', 'video game', 'tv series', 'tv series')", "mi.note LIKE '%i%'", "mi.info LIKE '%A%'", "mi.info LIKE '%1%'", "t.production_year > 1978"],
["cct.kind = 'complete+verified'", "cn.country_code = '[us]'", "it.info = 'certificates'", "kt.kind IN ('movie', 'movie', 'video game', 'video game', 'episode')", "mi.note LIKE '%i%'", "mi.info LIKE '%A%'", "mi.info LIKE '%K%'", "t.production_year > 1979"],
["cct.kind = 'complete'", "cn.country_code = '[br]'", "it.info = 'tech info'", "kt.kind IN ('movie', 'tv mini series', 'movie', 'episode', 'video game')", "mi.note LIKE '%(%'", "mi.info LIKE '%e%'", "mi.info LIKE '%A%'", "t.production_year > 2006"],
["cct.kind = 'complete+verified'", "cn.country_code = '[us]'", "it.info = 'plot'", "kt.kind IN ('movie', 'video movie', 'video game', 'episode', 'video game')", "mi.note LIKE '%t%'", "mi.info LIKE '%t%'", "mi.info LIKE '%i%'", "t.production_year > 1989"],
["cct.kind = 'complete+verified'", "cn.country_code = '[us]'", "it.info = 'release dates'", "kt.kind IN ('tv movie', 'tv movie', 'tv series', 'episode', 'movie')", "mi.note LIKE '%)%'", "mi.info LIKE '%A%'", "mi.info LIKE '%S%'", "t.production_year > 1992"],
["cct.kind = 'complete+verified'", "cn.country_code = '[ar]'", "it.info = 'release dates'", "kt.kind IN ('movie', 'tv mini series', 'video movie', 'movie', 'video game')", "mi.note LIKE '%e%'", "mi.info LIKE '%2%'", "mi.info LIKE '%0%'", "t.production_year > 2001"],
["cct.kind = 'complete'", "cn.country_code = '[ca]'", "it.info = 'plot'", "kt.kind IN ('movie', 'video movie', 'movie', 'episode', 'movie')", "mi.note LIKE '%m%'", "mi.info LIKE '%y%'", "mi.info LIKE '%e%'", "t.production_year > 1954"],
["cct.kind = 'complete+verified'", "cn.country_code = '[us]'", "it.info = 'tech info'", "kt.kind IN ('movie', 'tv mini series', 'video game', 'video game', 'tv series')", "mi.note LIKE '%r%'", "mi.info LIKE '%n%'", "mi.info LIKE '%P%'", "t.production_year > 1959"],
["cct.kind = 'complete'", "cn.country_code = '[us]'", "it.info = 'color info'", "kt.kind IN ('movie', 'video movie', 'episode', 'tv movie', 'tv mini series')", "mi.note LIKE '%l%'", "mi.info LIKE '%C%'", "mi.info LIKE '%l%'", "t.production_year > 1973"],
["cct.kind = 'complete'", "cn.country_code = '[gb]'", "it.info = 'release dates'", "kt.kind IN ('movie', 'movie', 'episode', 'tv movie', 'tv movie')", "mi.note LIKE '%m%'", "mi.info LIKE '%o%'", "mi.info LIKE '%O%'", "t.production_year > 2004"],
["cct.kind = 'complete+verified'", "cn.country_code = '[ar]'", "it.info = 'release dates'", "kt.kind IN ('movie', 'video movie', 'movie', 'tv movie', 'tv series')", "mi.note LIKE '%r%'", "mi.info LIKE '%7%'", "mi.info LIKE '%r%'", "t.production_year > 2003"],
["cct.kind = 'complete+verified'", "cn.country_code = '[de]'", "it.info = 'certificates'", "kt.kind IN ('movie', 'tv series', 'movie', 'movie', 'video movie')", "mi.note LIKE '%b%'", "mi.info LIKE '%r%'", "mi.info LIKE '%t%'", "t.production_year > 2005"],
["cct.kind = 'complete'", "cn.country_code = '[cshh]'", "it.info = 'release dates'", "kt.kind IN ('movie', 'tv series', 'video game', 'movie', 'movie')", "mi.note LIKE '%)%'", "mi.info LIKE '%:%'", "mi.info LIKE '%t%'", "t.production_year > 2001"],
["cct.kind = 'complete+verified'", "cn.country_code = '[us]'", "it.info = 'certificates'", "kt.kind IN ('movie', 'tv series', 'tv mini series', 'video game', 'episode')", "mi.note LIKE '%V%'", "mi.info LIKE '%a%'", "mi.info LIKE '%w%'", "t.production_year > 2002"],
["cct.kind = 'complete'", "cn.country_code = '[pa]'", "it.info = 'certificates'", "kt.kind IN ('movie', 'tv movie', 'video movie', 'video movie', 'video movie')", "mi.note LIKE '%R%'", "mi.info LIKE '%P%'", "mi.info LIKE '%P%'", "t.production_year > 1940"],
["cct.kind = 'complete'", "cn.country_code = '[us]'", "it.info = 'certificates'", "kt.kind IN ('movie', 'tv mini series', 'movie', 'video movie', 'video game')", "mi.note LIKE '%.%'", "mi.info LIKE '%U%'", "mi.info LIKE '%S%'", "t.production_year > 1998"],
["cct.kind = 'complete+verified'", "cn.country_code = '[us]'", "it.info = 'certificates'", "kt.kind IN ('movie', 'movie', 'video movie', 'video game', 'tv mini series')", "mi.note LIKE '%(%'", "mi.info LIKE '%U%'", "mi.info LIKE '%-%'", "t.production_year > 1939"],
["cct.kind = 'complete'", "cn.country_code = '[us]'", "it.info = 'tech info'", "kt.kind IN ('movie', 'episode', 'video movie', 'episode', 'movie')", "mi.note LIKE '%r%'", "mi.info LIKE '%:%'", "mi.info LIKE '%R%'", "t.production_year > 2007"],
["cct.kind = 'complete+verified'", "cn.country_code = '[nl]'", "it.info = 'locations'", "kt.kind IN ('movie', 'video movie', 'tv mini series', 'tv movie', 'tv movie')", "mi.note LIKE '%o%'", "mi.info LIKE '%a%'", "mi.info LIKE '%H%'", "t.production_year > 1990"],
