["it.info = 'countries'", "it.info = 'rating'", "k.keyword IN ('oral-sex', 'friendship', 'police', 'blood', 'revenge')", "kt.kind = 'episode'", "mi.info IN ('PFM:35 mm', 'USA', 'PFM:35 mm', 'OFM:35 mm', 'Black and White')", "mi_idx.info < '8'", "t.production_year > 1993"],
["it.info = 'genres'", "it.info = 'rating'", "k.keyword IN ('death', 'family-relationships', 'non-fiction', 'one-word-title', 'husband-wife-relationship')", "kt.kind = 'episode'", "mi.info IN ('Comedy', 'Documentary', 'PCS:Spherical', 'Comedy', 'PCS:Spherical')", "mi_idx.info < '5.5'", "t.production_year > 1938"],
["it.info = 'countries'", "it.info = 'votes'", "k.keyword IN ('hardcore', 'hardcore', 'hardcore', 'hardcore', 'hardcore')", "kt.kind = 'movie'", "mi.info IN ('USA', 'Short', 'Short', 'Short', 'English')", "mi_idx.info < '7.2'", "t.production_year > 1910"],
["it.info = 'genres'", "it.info = 'votes'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "kt.kind = 'episode'", "mi.info IN ('Comedy', 'Documentary', 'PCS:Spherical', 'Silent', 'Silent')", "mi_idx.info < '8'", "t.production_year > 2002"],
["it.info = 'countries'", "it.info = 'votes distribution'", "k.keyword IN ('based-on-novel', 'independent-film', 'independent-film', 'independent-film', 'based-on-novel')", "kt.kind = 'episode'", "mi.info IN ('English', 'USA', 'USA', 'Color', 'USA')", "mi_idx.info < '7.6'", "t.production_year > 1987"],
["it.info = 'genres'", "it.info = 'votes'", "k.keyword IN ('murder', 'female-nudity', 'murder', 'female-nudity', 'female-nudity')", "kt.kind = 'episode'", "mi.info IN ('Drama', 'PFM:35 mm', 'RAT:1.33 : 1', 'Drama', 'RAT:1.33 : 1')", "mi_idx.info < '3.7'", "t.production_year > 2001"],
["it.info = 'genres'", "it.info = 'votes'", "k.keyword IN ('character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title')", "kt.kind = 'episode'", "mi.info IN ('Drama', 'OFM:35 mm', '-', '-', 'OFM:35 mm')", "mi_idx.info < '7'", "t.production_year > 2000"],
["it.info = 'countries'", "it.info = 'votes'", "k.keyword IN ('female-nudity', 'female-nudity', 'female-nudity', 'murder', 'female-nudity')", "kt.kind = 'episode'", "mi.info IN ('English', 'USA', 'USA', 'Color', 'Color')", "mi_idx.info < '6.4'", "t.production_year > 1975"],
["it.info = 'countries'", "it.info = 'votes distribution'", "k.keyword IN ('non-fiction', 'nudity', 'one-word-title', 'bare-chested-male', 'tv-mini-series')", "kt.kind = 'episode'", "mi.info IN ('USA', 'USA', 'USA', 'USA', 'USA')", "mi_idx.info < '6'", "t.production_year > 1954"],
["it.info = 'countries'", "it.info = 'votes'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "kt.kind = 'episode'", "mi.info IN ('USA', 'USA', 'USA', 'USA', 'USA')", "mi_idx.info < '4120.00..0'", "t.production_year > 1993"],
["it.info = 'countries'", "it.info = 'votes'", "k.keyword IN ('character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title')", "kt.kind = 'episode'", "mi.info IN ('English', 'English', 'USA', 'Color', 'Short')", "mi_idx.info < '4.9'", "t.production_year > 1880"],
