["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%m%'", "chn.name LIKE '%de%'", "chn.name LIKE '%OroÃ±o%'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "kt.kind = 'episode'", "t.production_year > 1933"],
["cct.kind = 'cast'", "cct.kind LIKE '%f%'", "chn.name NOT LIKE '%m%'", "chn.name LIKE '%Johnny%'", "chn.name LIKE '%f%'", "k.keyword IN ('murder', 'murder', 'female-nudity', 'murder', 'murder')", "kt.kind = 'episode'", "t.production_year > 2007"],
["cct.kind = 'crew'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%m%'", "chn.name LIKE '%s%'", "chn.name LIKE '%f%'", "k.keyword IN ('independent-film', 'based-on-novel', 'based-on-novel', 'independent-film', 'independent-film')", "kt.kind = 'movie'", "t.production_year > 2010"],
["cct.kind = 'crew'", "cct.kind LIKE '%f%'", "chn.name NOT LIKE '%l%'", "chn.name LIKE '%Host%'", "chn.name LIKE '%s%'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "kt.kind = 'movie'", "t.production_year > 2009"],
["cct.kind = 'cast'", "cct.kind LIKE '%f%'", "chn.name NOT LIKE '%Carol%'", "chn.name LIKE '%Himself%'", "chn.name LIKE '%s%'", "k.keyword IN ('independent-film', 'independent-film', 'independent-film', 'based-on-novel', 'based-on-novel')", "kt.kind = 'episode'", "t.production_year > 1993"],
["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%Singer%'", "chn.name LIKE '%s%'", "chn.name LIKE '%f%'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "kt.kind = 'movie'", "t.production_year > 1993"],
["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%l%'", "chn.name LIKE '%m%'", "chn.name LIKE '%Clarke%'", "k.keyword IN ('character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title')", "kt.kind = 'episode'", "t.production_year > 1982"],
["cct.kind = 'crew'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%m%'", "chn.name LIKE '%Arnold%'", "chn.name LIKE '%s%'", "k.keyword IN ('character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title')", "kt.kind = 'movie'", "t.production_year > 1996"],
["cct.kind = 'crew'", "cct.kind LIKE '%f%'", "chn.name NOT LIKE '%Himself%'", "chn.name LIKE '%KlÃ¤rchen%'", "chn.name LIKE '%f%'", "k.keyword IN ('female-nudity', 'female-nudity', 'murder', 'female-nudity', 'female-nudity')", "kt.kind = 'movie'", "t.production_year > 1904"],
["cct.kind = 'crew'", "cct.kind LIKE '%f%'", "chn.name NOT LIKE '%Obstretician%'", "chn.name LIKE '%m%'", "chn.name LIKE '%Himself%'", "k.keyword IN ('female-nudity', 'murder', 'female-nudity', 'female-nudity', 'murder')", "kt.kind = 'episode'", "t.production_year > 2006"],
["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%Himself%'", "chn.name LIKE '%s%'", "chn.name LIKE '%Charlotte%'", "k.keyword IN ('murder', 'female-nudity', 'murder', 'murder', 'murder')", "kt.kind = 'episode'", "t.production_year > 1960"],
["cct.kind = 'cast'", "cct.kind LIKE '%f%'", "chn.name NOT LIKE '%Room%'", "chn.name LIKE '%m%'", "chn.name LIKE '%Himself%'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "kt.kind = 'episode'", "t.production_year > 1981"],
["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%Leon%'", "chn.name LIKE '%s%'", "chn.name LIKE '%f%'", "k.keyword IN ('death', 'father-son-relationship', 'based-on-play', 'violence', 'surrealism')", "kt.kind = 'episode'", "t.production_year > 1979"],
["cct.kind = 'cast'", "cct.kind LIKE '%f%'", "chn.name NOT LIKE '%m%'", "chn.name LIKE '%s%'", "chn.name LIKE '%Himself%'", "k.keyword IN ('female-nudity', 'murder', 'female-nudity', 'female-nudity', 'female-nudity')", "kt.kind = 'episode'", "t.production_year > 1991"],
["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%Himself%'", "chn.name LIKE '%m%'", "chn.name LIKE '%Veg%'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "kt.kind = 'episode'", "t.production_year > 2000"],
["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%Host%'", "chn.name LIKE '%Pierre%'", "chn.name LIKE '%f%'", "k.keyword IN ('bare-chested-male', 'tv-mini-series', 'police', 'sequel', 'bare-breasts')", "kt.kind = 'episode'", "t.production_year > 2010"],
["cct.kind = 'crew'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%l%'", "chn.name LIKE '%m%'", "chn.name LIKE '%Host%'", "k.keyword IN ('based-on-novel', 'independent-film', 'independent-film', 'independent-film', 'based-on-novel')", "kt.kind = 'episode'", "t.production_year > 1956"],
["cct.kind = 'crew'", "cct.kind LIKE '%f%'", "chn.name NOT LIKE '%l%'", "chn.name LIKE '%Man%'", "chn.name LIKE '%Jethro%'", "k.keyword IN ('female-nudity', 'female-nudity', 'murder', 'female-nudity', 'female-nudity')", "kt.kind = 'episode'", "t.production_year > 2008"],
["cct.kind = 'crew'", "cct.kind LIKE '%f%'", "chn.name NOT LIKE '%l%'", "chn.name LIKE '%m%'", "chn.name LIKE '%f%'", "k.keyword IN ('female-nudity', 'murder', 'murder', 'female-nudity', 'murder')", "kt.kind = 'episode'", "t.production_year > 2004"],
["cct.kind = 'crew'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%Officer%'", "chn.name LIKE '%s%'", "chn.name LIKE '%Pitt%'", "k.keyword IN ('character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title')", "kt.kind = 'episode'", "t.production_year > 1999"],
["cct.kind = 'cast'", "cct.kind LIKE '%f%'", "chn.name NOT LIKE '%the%'", "chn.name LIKE '%m%'", "chn.name LIKE '%San%'", "k.keyword IN ('character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title')", "kt.kind = 'movie'", "t.production_year > 2001"],
["cct.kind = 'crew'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%l%'", "chn.name LIKE '%m%'", "chn.name LIKE '%f%'", "k.keyword IN ('character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title')", "kt.kind = 'episode'", "t.production_year > 2005"],
["cct.kind = 'cast'", "cct.kind LIKE '%f%'", "chn.name NOT LIKE '%Himself%'", "chn.name LIKE '%City%'", "chn.name LIKE '%Odeleke%'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "kt.kind = 'movie'", "t.production_year > 1989"],
["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%Gregor%'", "chn.name LIKE '%m%'", "chn.name LIKE '%s%'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "kt.kind = 'movie'", "t.production_year > 2007"],
["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%l%'", "chn.name LIKE '%2%'", "chn.name LIKE '%Passenger%'", "k.keyword IN ('female-nudity', 'female-nudity', 'female-nudity', 'murder', 'murder')", "kt.kind = 'episode'", "t.production_year > 1986"],
["cct.kind = 'crew'", "cct.kind LIKE '%f%'", "chn.name NOT LIKE '%l%'", "chn.name LIKE '%m%'", "chn.name LIKE '%f%'", "k.keyword IN ('independent-film', 'independent-film', 'based-on-novel', 'independent-film', 'independent-film')", "kt.kind = 'movie'", "t.production_year > 2003"],
["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%m%'", "chn.name LIKE '%Himself%'", "chn.name LIKE '%Eric%'", "k.keyword IN ('murder', 'female-nudity', 'female-nudity', 'female-nudity', 'murder')", "kt.kind = 'episode'", "t.production_year > 2007"],
["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%Himself%'", "chn.name LIKE '%m%'", "chn.name LIKE '%f%'", "k.keyword IN ('independent-film', 'based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel')", "kt.kind = 'episode'", "t.production_year > 2002"],
["cct.kind = 'crew'", "cct.kind LIKE '%f%'", "chn.name NOT LIKE '%Host%'", "chn.name LIKE '%Himself%'", "chn.name LIKE '%f%'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "kt.kind = 'movie'", "t.production_year > 1973"],
["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%Host%'", "chn.name LIKE '%m%'", "chn.name LIKE '%s%'", "k.keyword IN ('murder', 'female-nudity', 'female-nudity', 'female-nudity', 'female-nudity')", "kt.kind = 'episode'", "t.production_year > 2011"],
["cct.kind = 'cast'", "cct.kind LIKE '%f%'", "chn.name NOT LIKE '%l%'", "chn.name LIKE '%s%'", "chn.name LIKE '%Host%'", "k.keyword IN ('non-fiction', 'number-in-title', 'friendship', 'bare-chested-male', 'dog')", "kt.kind = 'episode'", "t.production_year > 1975"],
["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%Host%'", "chn.name LIKE '%m%'", "chn.name LIKE '%Himself%'", "k.keyword IN ('female-nudity', 'female-nudity', 'murder', 'female-nudity', 'female-nudity')", "kt.kind = 'movie'", "t.production_year > 2007"],
["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%Himself%'", "chn.name LIKE '%m%'", "chn.name LIKE '%Cookout%'", "k.keyword IN ('friendship', 'one-word-title', 'number-in-title', 'one-word-title', 'love')", "kt.kind = 'episode'", "t.production_year > 1934"],
["cct.kind = 'cast'", "cct.kind LIKE '%f%'", "chn.name NOT LIKE '%Himself%'", "chn.name LIKE '%Host%'", "chn.name LIKE '%s%'", "k.keyword IN ('independent-film', 'independent-film', 'independent-film', 'based-on-novel', 'independent-film')", "kt.kind = 'episode'", "t.production_year > 2006"],
["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%Host%'", "chn.name LIKE '%T%'", "chn.name LIKE '%f%'", "k.keyword IN ('female-nudity', 'female-nudity', 'female-nudity', 'murder', 'female-nudity')", "kt.kind = 'episode'", "t.production_year > 2009"],
["cct.kind = 'cast'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%l%'", "chn.name LIKE '%s%'", "chn.name LIKE '%Beans%'", "k.keyword IN ('female-nudity', 'murder', 'murder', 'female-nudity', 'murder')", "kt.kind = 'episode'", "t.production_year > 1880"],
["cct.kind = 'cast'", "cct.kind LIKE '%f%'", "chn.name NOT LIKE '%Mircalla%'", "chn.name LIKE '%Host%'", "chn.name LIKE '%Himself%'", "k.keyword IN ('police', 'one-word-title', 'love', 'nudity', 'father-daughter-relationship')", "kt.kind = 'episode'", "t.production_year > 1951"],
["cct.kind = 'crew'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%l%'", "chn.name LIKE '%Himself%'", "chn.name LIKE '%f%'", "k.keyword IN ('independent-film', 'based-on-novel', 'independent-film', 'independent-film', 'independent-film')", "kt.kind = 'tv movie'", "t.production_year > 2005"],
["cct.kind = 'crew'", "cct.kind LIKE '%e%'", "chn.name NOT LIKE '%Host%'", "chn.name LIKE '%Carol%'", "chn.name LIKE '%f%'", "k.keyword IN ('non-fiction', 'anal-sex', 'husband-wife-relationship', 'tv-mini-series', 'death')", "kt.kind = 'episode'", "t.production_year > 2009"],
