["ci.note IN ('(head writer)', '(executive producer)', '(executive producer)', '(voice)', '(executive producer)')", "cn.country_code = '[fr]'", "it.info = 'genres'", "mc.note LIKE '%c%'", "mc.note LIKE '%Mukta%'", "mi.info LIKE '%by%'", "mi.info LIKE '%o%'", "n.gender = 'm'", "n.name LIKE '%Maria%'", "rt.role = 'actor'", "t.production_year > 1994", "t.production_year < 2012"],
["ci.note IN ('(voice)', '(writer)', '(executive producer)', '(audience coordinator)', '(credit only)')", "cn.country_code = '[gb]'", "it.info = 'countries'", "mc.note LIKE '%DVD%'", "mc.note LIKE '%S%'", "mi.info LIKE '%death%'", "mi.info LIKE '%a%'", "n.gender = 'm'", "n.name LIKE '%Corey%'", "rt.role = 'actor'", "t.production_year > 2000", "t.production_year < 2006"],
["ci.note IN ('(voice)', '(writer)', '(writer)', '(writer)', '(executive producer)')", "cn.country_code = '[us]'", "it.info = 'genres'", "mc.note LIKE '%2%'", "mc.note LIKE '%DVD%'", "mi.info LIKE '%g%'", "mi.info LIKE '%g%'", "n.gender = 'm'", "n.name LIKE '%Mark%'", "rt.role = 'actor'", "t.production_year > 1985", "t.production_year < 2010"],
["ci.note IN ('(voice)', '(voice)', '(voice)', '(voice)', '(voice)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%USA%'", "mc.note LIKE '%USA%'", "mi.info LIKE '%stirring%'", "mi.info LIKE '%n%'", "n.gender = 'm'", "n.name LIKE '%W%'", "rt.role = 'actor'", "t.production_year > 1993", "t.production_year < 2009"],
["ci.note IN ('(uncredited)', '(credit only)', '(executive producer)', '(executive producer)', '(voice)')", "cn.country_code = '[de]'", "it.info = 'genres'", "mc.note LIKE '%USA%'", "mc.note LIKE '%Germany%'", "mi.info LIKE '%o%'", "mi.info LIKE '%deeply%'", "n.gender = 'm'", "n.name LIKE '%Baker%'", "rt.role = 'actor'", "t.production_year > 1995", "t.production_year < 2007"],
["ci.note IN ('(voice)', '(voice)', '(executive producer)', '(executive producer)', '(executive producer)')", "cn.country_code = '[us]'", "it.info = 'genres'", "mc.note LIKE '%with%'", "mc.note LIKE '%USA%'", "mi.info LIKE '%l%'", "mi.info LIKE '%S%'", "n.gender = 'm'", "n.name LIKE '%Dee%'", "rt.role = 'actor'", "t.production_year > 1915", "t.production_year < 2006"],
["ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'genres'", "mc.note LIKE '%2008%'", "mc.note LIKE '%USA%'", "mi.info LIKE '%l%'", "mi.info LIKE '%loose%'", "n.gender = 'm'", "n.name LIKE '%Roger%'", "rt.role = 'actor'", "t.production_year > 1926", "t.production_year < 2010"],
["ci.note IN ('(archive footage)', '(archive footage)', '(archive footage)', '(archive footage)', '(archive footage)')", "cn.country_code = '[us]'", "it.info = 'genres'", "mc.note LIKE '%1955%'", "mc.note LIKE '%theatrical%'", "mi.info LIKE '%l%'", "mi.info LIKE '%o%'", "n.gender = 'm'", "n.name LIKE '%Brian%'", "rt.role = 'actor'", "t.production_year > 1973", "t.production_year < 1999"],
["ci.note IN ('(script supervisor)', '(creator)', '(voice)', '(written by)', '(production coordinator)')", "cn.country_code = '[us]'", "it.info = 'genres'", "mc.note LIKE '%UK%'", "mc.note LIKE '%TV%'", "mi.info LIKE '%s%'", "mi.info LIKE '%c%'", "n.gender = 'm'", "n.name LIKE '%Tim%'", "rt.role = 'actor'", "t.production_year > 1953", "t.production_year < 2007"],
["ci.note IN ('(uncredited)', '(executive producer)', '(uncredited)', '(voice)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%2012%'", "mc.note LIKE '%worldwide%'", "mi.info LIKE '%l%'", "mi.info LIKE '%A%'", "n.gender = 'm'", "n.name LIKE '%Max%'", "rt.role = 'actor'", "t.production_year > 2002", "t.production_year < 2011"],
["ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(executive producer)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%USA%'", "mc.note LIKE '%DVD%'", "mi.info LIKE '%l%'", "mi.info LIKE '%A%'", "n.gender = 'm'", "n.name LIKE '%G%'", "rt.role = 'actor'", "t.production_year > 2004", "t.production_year < 2007"],
["ci.note IN ('(executive producer)', '(executive producer)', '(uncredited)', '(uncredited)', '(executive producer)')", "cn.country_code = '[us]'", "it.info = 'genres'", "mc.note LIKE '%association%'", "mc.note LIKE '%association%'", "mi.info LIKE '%o%'", "mi.info LIKE '%o%'", "n.gender = 'm'", "n.name LIKE '%Jose%'", "rt.role = 'actor'", "t.production_year > 1990", "t.production_year < 2012"],
["ci.note IN ('(voice)', '(writer)', '(voice)', '(writer)', '(writer)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%DVD%'", "mc.note LIKE '%1966%'", "mi.info LIKE '%l%'", "mi.info LIKE '%Yeah%'", "n.gender = 'm'", "n.name LIKE '%Kan%'", "rt.role = 'actor'", "t.production_year > 2005", "t.production_year < 2009"],
["ci.note IN ('(uncredited)', '(uncredited)', '(producer)', '(uncredited)', '(voice)')", "cn.country_code = '[de]'", "it.info = 'release dates'", "mc.note LIKE '%2005%'", "mc.note LIKE '%theatrical%'", "mi.info LIKE '%1%'", "mi.info LIKE '%where%'", "n.gender = 'm'", "n.name LIKE '%Bradley%'", "rt.role = 'actor'", "t.production_year > 1941", "t.production_year < 2008"],
