method,training_size,confidence_threshold,E2E_Training_Time,candidate_plan_generation_time_seconds,plan_cover_execution_time,training_data_collection_time,model_prediction_time,#_of_robust_plans,Avg_Robust_ms,Avg_Postgres_ms,Ratio,Robust_is_faster
cardinality,50,0.0,= 108.03 + 1632.38 + 2.05 + 10.68,108.02813911437988,1632.3811657428741,2.05314564704895,10.68205976486206,1,202.0457649230957,198.64795684814453,-1.0171046716455716,96/200
cardinality,50,0.2,= 108.03 + 1632.38 + 2.05 + 9.86,108.02813911437988,1632.3811657428741,2.05314564704895,9.863328695297241,1,198.808753490448,195.74936985969543,-1.0156290854624226,76/200
cardinality,50,0.4,= 108.03 + 1632.38 + 2.05 + 9.75,108.02813911437988,1632.3811657428741,2.05314564704895,9.752477884292603,1,195.19044280052185,192.62794852256772,-1.0133028166349076,88/200
cardinality,50,0.6,= 108.03 + 1632.38 + 2.05 + 9.88,108.02813911437988,1632.3811657428741,2.05314564704895,9.878341436386108,1,189.68749165534973,189.52385187149048,-1.0008634258023112,90/200
cardinality,50,0.8,= 108.03 + 1632.38 + 2.05 + 9.85,108.02813911437988,1632.3811657428741,2.05314564704895,9.84764313697815,1,188.8413918018341,188.7994122505188,-1.0002223500106007,101/200
cardinality,400,0.0,= 192.72 + 20224.88 + 1.50 + 12.09,192.71766424179077,20224.87855911255,1.4988973140716553,12.093479633331299,1,194.99792218208316,194.59149360656735,-1.0020886245743996,100/200
cardinality,400,0.2,= 192.72 + 20224.88 + 1.50 + 11.87,192.71766424179077,20224.87855911255,1.4988973140716553,11.874774932861328,1,195.25311946868896,195.86792945861816,1.0031487844680904,118/200
cardinality,400,0.4,= 192.72 + 20224.88 + 1.50 + 12.24,192.71766424179077,20224.87855911255,1.4988973140716553,12.240898609161377,1,194.67515349388125,195.49655199050903,1.0042193288762635,120/200
cardinality,400,0.6,= 192.72 + 20224.88 + 1.50 + 11.97,192.71766424179077,20224.87855911255,1.4988973140716553,11.967424392700195,1,194.59636926651,195.29496908187863,1.0035899940887996,116/200
cardinality,400,0.8,= 192.72 + 20224.88 + 1.50 + 12.10,192.71766424179077,20224.87855911255,1.4988973140716553,12.09762954711914,1,189.8105585575104,189.44144129753116,-1.0019484504417357,94/200
