method,training_size,confidence_threshold,E2E_Training_Time,candidate_plan_generation_time_seconds,plan_cover_execution_time,training_data_collection_time,model_prediction_time,#_of_robust_plans,Avg_Robust_ms,Avg_Postgres_ms,Ratio,Robust_is_faster
cardinality,50,0.0,= 249.33 + 8774.80 + 19.93 + 9.16,249.33349871635437,8774.800678730011,19.933768272399902,9.158064842224121,5,166.3072907924652,756.7291486263275,4.550186254736417,150/200
cardinality,50,0.2,= 249.33 + 8774.80 + 19.93 + 9.01,249.33349871635437,8774.800678730011,19.933768272399902,9.008902788162231,5,216.3356864452362,758.2790076732635,3.505103666126838,148/200
cardinality,50,0.4,= 249.33 + 8774.80 + 19.93 + 8.98,249.33349871635437,8774.800678730011,19.933768272399902,8.982001543045044,5,250.04485726356504,762.4363696575165,3.0491983638513886,150/200
cardinality,50,0.6,= 249.33 + 8774.80 + 19.93 + 8.91,249.33349871635437,8774.800678730011,19.933768272399902,8.909095525741577,5,739.4153380393982,738.551652431488,-1.0011694315557573,92/200
cardinality,50,0.8,= 249.33 + 8774.80 + 19.93 + 8.84,249.33349871635437,8774.800678730011,19.933768272399902,8.836118459701538,5,747.7187061309814,747.5024843215942,-1.0002892589843142,97/200
cardinality,400,0.0,= 540.46 + 87423.67 + 13.23 + 10.89,540.4646089076996,87423.66785979271,13.231226682662964,10.890629291534424,5,164.75943446159363,755.3484499454498,4.584553548716665,151/200
cardinality,400,0.2,= 540.46 + 87423.67 + 13.23 + 11.02,540.4646089076996,87423.66785979271,13.231226682662964,11.01681113243103,5,163.14257264137268,754.9475932121277,4.627532721772675,151/200
cardinality,400,0.4,= 540.46 + 87423.67 + 13.23 + 11.04,540.4646089076996,87423.66785979271,13.231226682662964,11.040038824081421,5,164.56898093223572,756.650105714798,4.597768676870901,151/200
cardinality,400,0.6,= 540.46 + 87423.67 + 13.23 + 11.01,540.4646089076996,87423.66785979271,13.231226682662964,11.011209487915039,5,323.5905158519745,755.3280055522919,2.3342093434463154,136/200
cardinality,400,0.8,= 540.46 + 87423.67 + 13.23 + 10.96,540.4646089076996,87423.66785979271,13.231226682662964,10.961345195770264,5,739.007979631424,739.2454314231873,1.0003213115396694,102/200
kepler,50,0.0,= 233.71 + 7073.11 + 3.40 + 8.88,233.71383595466614,7073.10634803772,3.395735740661621,8.876732110977173,4,135.6968057155609,1005.6863021850586,7.411274693474471,183/200
kepler,50,0.2,= 233.71 + 7073.11 + 3.40 + 8.78,233.71383595466614,7073.10634803772,3.395735740661621,8.779292345046997,4,152.5653898715973,1033.7498772144318,6.775782358531385,189/200
kepler,50,0.4,= 233.71 + 7073.11 + 3.40 + 8.72,233.71383595466614,7073.10634803772,3.395735740661621,8.723092555999756,4,133.12633752822876,1052.6564967632294,7.907199404024909,186/200
kepler,50,0.6,= 233.71 + 7073.11 + 3.40 + 8.92,233.71383595466614,7073.10634803772,3.395735740661621,8.921785593032837,4,1028.2610201835632,1029.862915277481,1.0015578681506685,102/200
kepler,50,0.8,= 233.71 + 7073.11 + 3.40 + 8.76,233.71383595466614,7073.10634803772,3.395735740661621,8.759541273117065,4,1021.0699760913848,1021.6316556930542,1.0005500892346473,106/200
kepler,400,0.0,= 460.73 + 73779.22 + 4.88 + 11.07,460.7320568561554,73779.22028779984,4.881606101989746,11.07273244857788,4,125.47730088233948,1053.6044824123385,8.396773559867272,191/200
kepler,400,0.2,= 460.73 + 73779.22 + 4.88 + 10.78,460.7320568561554,73779.22028779984,4.881606101989746,10.781493902206421,4,133.66148829460144,1056.1919558048248,7.901991585466164,184/200
kepler,400,0.4,= 460.73 + 73779.22 + 4.88 + 11.01,460.7320568561554,73779.22028779984,4.881606101989746,11.01206088066101,4,131.3665270805359,1045.0256478786469,7.955037490166585,188/200
kepler,400,0.6,= 460.73 + 73779.22 + 4.88 + 10.93,460.7320568561554,73779.22028779984,4.881606101989746,10.929531812667847,4,130.74267506599426,1044.1301727294922,7.9861466212348216,191/200
